id-локации;краткое описание;полное описание;количество стрелков;количество штурмовиков;количество огневиков;количество лутбоксов;
0;Зелёный коридор бункера - уровень 0.;Стартовая точка. Проход идёт на север.;0;0;0;2;
1;Зелёный коридор бункера - уровень 1.;Проход идёт на восток к следующему уровню, на северо-запад к ответвлению от коридора и на юг.;1;1;0;2;
2;Зелёный коридор бункера - уровень 2.;Проход идёт на север к следующему уровню, на северо-запад к ответвлению от коридора и на запад.;0;2;2;1;
3;Зелёный коридор бункера - уровень 3.;Проход идёт на восток к следующему уровню, на северо-запад к ответвлению от коридора и на юг.;1;2;3;2;
4;Зелёный коридор бункера - уровень 4.;Проход идёт на север к следующему уровню, на северо-запад к ответвлению от коридора и на запад.;2;2;2;2;
5;Зелёный коридор бункера - уровень 5.;Проход идёт на восток к следующему уровню, на северо-запад к ответвлению от коридора и на юг.;3;4;3;2;
6;Зелёный коридор бункера - уровень 6.;Проход идёт на восток к следующему уровню, на северо-запад к ответвлению от коридора и на запад.;1;2;1;1;
7;Зелёный коридор бункера - уровень 7.;Проход идёт на север к следующему уровню, на северо-запад к ответвлению от коридора и на запад.;4;2;1;1;
8;Зелёный коридор бункера - уровень 8.;Проход идёт на восток к следующему уровню, на северо-запад к ответвлению от коридора и на юг.;1;2;3;1;
9;Зелёный коридор бункера - уровень 9.;Конечная комната зелёного коридора, проход идёт только назад на запад.;1;2;1;2;
10;Ответвление от коридора бункера - уровень 1.;Проход идёт на восток, на верх, в низ и на юго-восток.;0;0;0;2;
11;Ответвление от коридора бункера - уровень 1.;Тупик. Проход идёт только назад на запад.;0;0;0;1;
12;Ответвление от коридора бункера - уровень 1.;Тупик. Проход идёт только назад на верх.;0;0;0;2;
13;Ответвление от коридора бункера - уровень 1.;Проход идёт на запад, на верх и в низ.;0;0;0;2;
14;Ответвление от коридора бункера - уровень 1.;Тупик. Проход идёт только назад на восток.;0;0;0;0;
15;Ответвление от коридора бункера - уровень 1.;Тупик. Проход идёт только назад в низ.;0;0;0;3;
16;Ответвление от коридора бункера - уровень 2.;Проход идёт в низ, на север и на юго-восток.;0;0;0;2;
17;Ответвление от коридора бункера - уровень 2.;Тупик. Проход идёт только назад на восток.;0;0;0;2;
18;Ответвление от коридора бункера - уровень 2.;Тупик. Проход идёт только назад на юг.;0;0;0;1;
19;Ответвление от коридора бункера - уровень 2.;Проход идёт на запад, на север и на восток.;0;0;0;2;
20;Ответвление от коридора бункера - уровень 2.;Проход идёт на запад и на верх.;0;0;0;2;
21;Ответвление от коридора бункера - уровень 2.;Тупик. Проход идёт только назад на юг.;0;0;0;1;
22;Ответвление от коридора бункера - уровень 3.;Проход идёт на юг, на север, в низ и на юго-восток.;0;0;0;1;
23;Ответвление от коридора бункера - уровень 3.;Проход идёт в низ и на север.;0;0;0;2;
24;Ответвление от коридора бункера - уровень 3.;Проход идёт на восток и на верх.;0;0;0;2;
25;Ответвление от коридора бункера - уровень 3.;Проход идёт на юг, на верх и на зпад.;0;0;0;3;
26;Ответвление от коридора бункера - уровень 3.;Проход идёт на юг и на север.;0;0;0;2;
27;Ответвление от коридора бункера - уровень 4.;Проход идёт на север, на юг и на юго-восток.;0;0;0;1;
28;Ответвление от коридора бункера - уровень 4.;Проход идёт в низ, на восток, на юг и на север.;0;0;0;2;
29;Ответвление от коридора бункера - уровень 4.;Проход идёт в низ и на верх.;0;0;0;1;
30;Ответвление от коридора бункера - уровень 4.;Проход идёт на верх, на запад и на восток.;0;0;0;3;
31;Ответвление от коридора бункера - уровень 4.;Проход идёт на север, на запад и на юг.;0;0;0;2;
